"Timestamp","What is your age or what age group do you belong to?","What is your gender?","What is your ethnicity?","What is your current level of studies?","You are under what faculty?","Do you know what is ChatGPT?","Do you think universities should allow the use of ChatGPT?","What do you think you could use ChatGPT for? (Select all that applies)","On a scale of 5 how do you think that the use of AI tools such as ChatGPT would inhibit education? ","Do you think ChatGPT is plagiarism in and of itself? ","Optional: If so, then why/why not?","Now that you have an idea of what ChatGPT is, what would be the use of ChatGPT by students? (Select all that applies) ","Finally, do you think students will be more depandant on AI such as ChatGPT in the future?","Do you use ChatGPT?","Do you think universities should allow the use of ChatGPT? (If you use ChatGPT)","On a scale of 5 how do you think that the use of AI tools such as ChatGPT would inhibit education? (using ChatGPT) ","Do you think ChatGPT is plagiarism in and of itself? (If you use ChatGPT) ","Optional: If so, then why/why not?","On a scale of 10, how often do you use it?","In what way do you think ChatGPT is beneficial to education? (Select all that applies) ","Do you think universities should allow the use of ChatGPT? (If you do not use ChatGPT)","On a scale of 5 how do you think that the use of AI tools such as ChatGPT would inhibit education? (Not using ChatGPT) ","Do you think ChatGPT is plagiarism in and of itself?  (If you do not use ChatGPT) ","Optional: If so, then why/why not?","On a scale of 10, how dangerous do you think is AI such as ChatGPT?","Why don't you use ChatGPT? (Select all that applies) "
"2023/03/01 9:18:58 PM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","No","3","Yes","An AI is doing the thinking and writing for you ","2","Help to reference/ look for sources/ citations","No","3","Yes","","4","Increasing dependence of AI which affects our critical thinking "
"2023/03/01 9:19:17 PM AST","19","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","No","3","Yes","You are copying the answers from a source other than yourself","4","Help to reference/ look for sources/ citations","No","2","Yes","","3","Not interested"
"2023/03/01 9:33:26 PM AST","21","Male","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","0","No","","10","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","Yes","0","No","","1","I use it!"
"2023/03/01 9:40:47 PM AST","19","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","No","","","","","","","No","5","No","","10","Fear of AI;Invasion of privacy;It is unethical;Did not have time to use it"
"2023/03/01 10:10:35 PM AST","20","Female","Other","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","4","No","","5","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/01 11:54:48 PM AST","21","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","No","","","","","","","Yes","2","Yes","As it doesn't generate any new information rather copies the information from other previously recorded sources.","2","Not dependable;Did not have time to use it"
"2023/03/02 12:09:44 AM AST","19","Male","Asian","Undergraduate","Faculty of Science","No","Yes","Daily Life","5","No","","To learn","Yes","","","","","","","","","","","","",""
"2023/03/02 12:21:46 AM AST","24 or Above","Male","Asian","Graduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","No","3","Yes","They are paraphrasing the information that is readily available","2","Help to reference/ look for sources/ citations","","","","","",""
"2023/03/02 12:29:46 AM AST","21","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","No","2","Yes","ChatGPT is a LLM, which gather large amount of information and generate outputs, so if you rely on it when you write reports, you’re indirectly reusing knowledge of other people.","3","Help to grade assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/02 12:46:37 AM AST","22","Female","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","3","No","","1","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/02 12:50:17 AM AST","22","Male","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","2","No","","4","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/02 1:32:32 AM AST","22","Male","Multiracial","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","No","3","Yes","It is copying and taking help. Taking help bad ","2","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/02 1:49:00 AM AST","21","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","2","No","","5","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/02 2:07:24 AM AST","22","Male","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","No","","","","","","","Yes","2","No","","4","Not dependable;Not interested;Did not have time to use it"
"2023/03/02 2:16:51 AM AST","19","Male","Other","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","3","No","","6","Help to innovate new ideas","","","","","",""
"2023/03/02 3:00:40 AM AST","20","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","3","No","It's not plagiarism as chatGPT does not copy and paste information.","2","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/02 5:39:47 AM AST","19","Male","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","No","2","No","U can still use your own opinion ","7","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/02 5:48:22 AM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","5","No","","7","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/02 6:36:24 AM AST","23","Male","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","No","3","Yes","","6","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations","","","","","",""
"2023/03/02 7:43:40 AM AST","20","Male","Other","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","5","No","","6","Help in academic homework/assignments","","","","","",""
"2023/03/02 10:18:34 AM AST","20","Male","Other","Undergraduate","Faculty of Engineering","No","No","I would not","2","Yes","","Unethical usage","No","","","","","","","","","","","","",""
"2023/03/02 10:22:41 AM AST","21","Female","Asian","Undergraduate","Faculty of Arts","Yes","","","","","","","","Yes","No","0","No","","3","Help in academic homework/assignments","","","","","",""
"2023/03/02 10:24:42 AM AST","23","Male","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","3","Yes","","3","Help in academic homework/assignments","","","","","",""
"2023/03/02 10:25:55 AM AST","22","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","3","No","","5","Help in academic homework/assignments","","","","","",""
"2023/03/02 10:28:14 AM AST","22","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","1","No","","4","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to teach other students","","","","","",""
"2023/03/02 11:27:22 AM AST","22","Female","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","No","","","","","","","No","2","Yes","It’s literally taking content from various sources","9","Not dependable;Not interested;Did not have time to use it;I feel like it’ll limit my creativity and at some point, I’ll be so reliant on it that I wont be able to even think"
"2023/03/02 12:22:30 PM AST","19","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","4","No","","4","Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/02 12:38:42 PM AST","20","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","No","5","No","","10","Help to reference/ look for sources/ citations;Help to teach other students;Helps to organise concepts on a topic and makes it easier to grasp","","","","","",""
"2023/03/02 1:01:52 PM AST","21","Female","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","No","","","","","","","Yes","3","No","","4","Did not have time to use it"
"2023/03/02 6:21:55 PM AST","18","Male","Asian","Undergraduate","Faculty of Education","Yes","","","","","","","","No","","","","","","","Yes","4","Yes","","1","Did not have time to use it"
"2023/03/02 6:24:21 PM AST","19","Male","Asian","Academic Faculty","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","0","No","","6","Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/02 6:28:05 PM AST","18","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","4","Yes","","8","Help in academic homework/assignments;Help to grade assignments;Help to innovate new ideas","","","","","",""
"2023/03/02 6:28:46 PM AST","23","Male","Other","Graduate","ESPI France","No","Yes","Daily Life;Workplace","4","No","","To teach;To learn;For work terms","Yes","","","","","","","","","","","","",""
"2023/03/02 6:38:37 PM AST","19","Female","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","No","","","","","","","No","4","Yes","","7","Not interested;Did not have time to use it"
"2023/03/02 6:45:20 PM AST","19","Female","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","No","","","","","","","Yes","5","No","","1","External factors;"
"2023/03/02 7:04:28 PM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","4","No","","7","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/02 7:10:06 PM AST","21","Female","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","No","","","","","","","Yes","4","No","","3","Invasion of privacy"
"2023/03/02 7:20:34 PM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","3","Yes","","5","Help to grade assignments","","","","","",""
"2023/03/02 7:21:54 PM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","No","","","","","","","Yes","3","Yes","","1","Invasion of privacy"
"2023/03/02 7:23:08 PM AST","20","Male","Prefer not to say","Graduate","Faculty of Engineering","Yes","","","","","","","","Yes","No","5","Yes","","10","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/02 8:07:39 PM AST","24 or Above","Male","Asian","Graduate","Faculty of Engineering","Yes","","","","","","","","Yes","No","4","No","","7","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/02 10:34:49 PM AST","21","Male","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","2","No","Because students can use chatgpt in order to solve problems and lear how to do it on their own","4","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/02 11:31:35 PM AST","19","Female","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","No","","","","","","","Yes","4","Yes","","7","Not interested"
"2023/03/03 12:05:44 AM AST","20","Male","Black","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","0","No","","2","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/03 12:16:48 AM AST","19","Female","Asian","Undergraduate","Faculty of Science","No","Yes","Daily Life","4","Yes","","To learn","No","","","","","","","","","","","","",""
"2023/03/03 12:59:02 AM AST","20","Female","Asian","Undergraduate","Faculty of Business and Economics","No","No","Academic Work","4","No","It is essentially generating a writing on its own","For work terms","Yes","","","","","","","","","","","","",""
"2023/03/03 1:38:24 AM AST","19","Female","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","2","No","You can find whatever you get from ChatGPT with google searches and Google searches are not plagiarism.","3","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/03 1:49:29 AM AST","20","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","4","No","","6","Help in academic homework/assignments","","","","","",""
"2023/03/03 2:05:23 AM AST","19","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","2","No","I believe so because chatgpt can be used to gather some vital information much quicker than using google which can help prepare for some assignments.","8","Help in academic homework/assignments;Help to innovate new ideas","","","","","",""
"2023/03/03 3:38:28 AM AST","18","Female","Other","Undergraduate","Faculty of Business and Economics","No","No","Workplace","5","Yes","Because it is not ones own idea or creativity.","Unethical usage","Yes","","","","","","","","","","","","",""
"2023/03/03 7:10:10 AM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","5","Yes","","7","Help to innovate new ideas","","","","","",""
"2023/03/03 8:22:57 AM AST","20","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","No","","","","","","","Yes","2","Yes","Well, ChatGPT generates an answer which could be helpful for people but it is still not from the creativity of the person.","1","Did not have time to use it"
"2023/03/03 1:35:21 PM AST","18","Female","Asian","Undergraduate","Faculty of Communication and Design","Yes","","","","","","","","No","","","","","","","Yes","4","Yes","","10","Not dependable;Not interested;It is unethical"
"2023/03/03 2:54:30 PM AST","18","Male","Asian","Undergraduate","Faculty of Community Service/Hospitality","Yes","","","","","","","","Yes","Yes","2","Yes","It is not the traditional kind of plagiarism, but the text is generated by AI not the student so copying the whole text is actually not right","8","Help in academic homework/assignments;Help to grade assignments;Help to innovate new ideas","","","","","",""
"2023/03/04 3:54:46 PM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","No","2","Yes","Because the thoughts and the words are not of the student who’s submitting the work written by the AI.","2","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/04 10:41:38 PM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","1","No","","8","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/05 10:40:30 PM AST","24 or Above","Female","Caucasian","Undergraduate","Faculty of Community Service/Hospitality","Yes","","","","","","","","No","","","","","","","Yes","4","Yes","","6","Not dependable;Invasion of privacy;Not interested;It is unethical;Intellectual property concerns."
"2023/03/06 8:31:12 PM AST","24 or Above","Female","Caucasian","Undergraduate","Faculty of Community Service/Hospitality","Yes","","","","","","","","No","","","","","","","No","4","No","","7","Not dependable;Invasion of privacy;It is unethical"
"2023/03/09 1:31:52 AM AST","19","Female","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","No","","","","","","","Yes","2","No","","5","It is unethical"
"2023/03/09 1:56:32 AM AST","20","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","2","No","ChatGPT is an educational resource. Plagiarism occurred long before it’s existence. Counters to plagiarism from ChatGPT have already been made such as GPZero and they are being improved everyday to identify AI generated language.","8","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/09 2:01:03 AM AST","19","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","No","","","","","","","Yes","3","Yes","Education system in use right now wasnt built around chatgpt. Thus, a lot of questions can be answered by chatgpt. It can be thought of as a scientific calculator when it came to be. As an engineering student, chatgpt greatly reduces the time I see people spend on research and coding. Therefore, Education systems have to change to teach on top of chatgpt","1","I feel like i might feel i didnt accomplish anything if i use it. I might use it for learning IoT not covered in class though"
"2023/03/12 11:35:48 PM AST","20","Male","Asian","Undergraduate","Business ","Yes","","","","","","","","Yes","No","4","No","","4","Help in academic homework/assignments","","","","","",""
"2023/03/12 11:41:21 PM AST","24 or Above","Female","Asian","Graduate","Faculty of Business and Economics","Yes","","","","","","","","No","","","","","","","Yes","3","No","","5","Fear of AI;Not dependable;Did not have time to use it"
"2023/03/12 11:44:27 PM AST","20","Female","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","3","No","","7","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/12 11:49:05 PM AST","22","Female","Asian","Undergraduate","Faculty of Arts","Yes","","","","","","","","Yes","Yes","2","Yes","","4","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/13 12:04:01 AM AST","21","Male","Asian","Undergraduate","Accounting","Yes","","","","","","","","No","","","","","","","No","5","Yes","","7","Not dependable;Not interested"
"2023/03/13 12:08:32 AM AST","20","Female","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","No","","","","","","","No","3","Yes","","5","Not dependable;Invasion of privacy;Not interested"
"2023/03/13 1:02:25 AM AST","21","Female","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","3","No","","4","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/13 1:34:13 AM AST","22","Female","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","No","4","Yes","","2","Help to innovate new ideas","","","","","",""
"2023/03/13 4:27:52 AM AST","20","Female","Other","Undergraduate","Faculty of Science","Yes","","","","","","","","No","","","","","","","No","4","Yes","","8","Fear of AI;Invasion of privacy"
"2023/03/13 9:39:40 AM AST","19","Female","Other","Undergraduate","Faculty of Science","Yes","","","","","","","","No","","","","","","","Yes","3","Yes","","7","Invasion of privacy"
"2023/03/13 11:39:39 AM AST","22","Male","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","No","","","","","","","Yes","3","Yes","Because it is writing something for you which is plagiarism ","5","Not dependable;Not interested"
"2023/03/13 1:37:37 PM AST","22","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","3","No","","6","Help to reference/ look for sources/ citations","","","","","",""
"2023/03/13 7:26:26 PM AST","21","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","No","","","","","","","No","3","No","It rewrites everything on its own. Not 100% plagiarism free but requires a use of plagiarism detection.","5","Not dependable;It is unethical"
"2023/03/15 1:49:00 AM AST","24 or Above","Female","Caucasian","Undergraduate","Faculty of Architecture and Landscape","Yes","","","","","","","","No","","","","","","","No","3","Yes","If someone submits work that is not their own, it's plagiarism. It doesn't matter if a person or a bot wrote it. If the person claiming the work is not the one who wrote it, it's plagiarism. ","6","Not interested;It is unethical"
"2023/03/15 2:52:20 AM AST","24 or Above","Female","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","1","No","Plagiarism is based on the work done by a human. Cannot be copy righted if an AI generated it.","7","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/15 2:47:35 PM AST","18","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","4","Yes","","4","Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/16 12:37:52 AM AST","19","Female","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","3","Yes","","6","Help in academic homework/assignments;Help to innovate new ideas","","","","","",""
"2023/03/16 1:32:13 AM AST","17 or Under","Female","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","0","No","","1","Help to grade assignments","","","","","",""
"2023/03/16 12:50:04 PM AST","24 or Above","Female","Caucasian","Undergraduate","Faculty of Community Service/Hospitality","Yes","","","","","","","","No","","","","","","","No","4","No","","7","Not dependable;Invasion of privacy;Did not have time to use it"
"2023/03/17 1:00:16 AM AST","24 or Above","Male","Asian","Graduate","Faculty of Communication and Design","Yes","","","","","","","","No","","","","","","","Yes","3","No","","6","Not dependable;Did not have time to use it"
"2023/03/18 6:08:12 PM AST","18","Prefer not to say","Caucasian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","2","No","","2","Help in academic homework/assignments;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/18 7:34:28 PM AST","24 or Above","Male","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","Yes","Yes","2","Yes","the work is not cited","10","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/20 11:37:13 PM AST","21","Male","Asian","PhD","Faculty of Engineering","No","No","Academic Work;Daily Life","0","No","","To use in homework or assignments","No","","","","","","","","","","","","",""
"2023/03/20 11:37:43 PM AST","18","Male","Caucasian","Undergraduate","Faculty of Arts","No","Yes","Academic Work;Daily Life;Workplace","1","No","","To use in homework or assignments","Yes","","","","","","","","","","","","",""
"2023/03/20 11:38:11 PM AST","18","Female","Asian","Undergraduate","Faculty of Engineering","No","Yes","Academic Work;Daily Life;Workplace","0","Yes","","To teach;To learn;To use in homework or assignments;For entertainment;For work terms;Unethical usage","Yes","","","","","","","","","","","","",""
"2023/03/20 11:40:01 PM AST","17 or Under","Female","Asian","Undergraduate","Faculty of Business and Economics","Yes","","","","","","","","No","","","","","","","Yes","1","Yes","","4","Not dependable;Invasion of privacy;Did not have time to use it"
"2023/03/20 11:41:12 PM AST","19","Female","Caucasian","Undergraduate","Faculty of Mathematics","No","No","Academic Work","2","Yes","","To teach;To learn;To use in homework or assignments;For entertainment","Yes","","","","","","","","","","","","",""
"2023/03/20 11:41:37 PM AST","21","Female","Other","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","No","1","No","","4","Help to reference/ look for sources/ citations;Help to teach other students","","","","","",""
"2023/03/20 11:42:06 PM AST","19","Male","Caucasian","Graduate","Faculty of Mathematics","Yes","","","","","","","","Yes","No","0","No","","10","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","","","","","",""
"2023/03/23 4:28:06 AM AST","19","Male","Caucasian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","2","Yes","To a certain extent it is because it can do full assignments for you","2","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to innovate new ideas","","","","","",""
"2023/03/23 10:17:32 PM AST","19","Female","Multiracial","Undergraduate","Faculty of Community Service/Hospitality","Yes","","","","","","","","No","","","","","","","No","4","Yes","Gives an unfair advantage to students who use it, even if its only for a 'prompt'","8","Not dependable;Invasion of privacy;Not interested;It is unethical"
